method,generated_complexity,true_min_complexity,num_trials,success_rate,avg_steps_success,avg_steps_all,avg_reward,wallclock_sec
greedy_1step,1,-1,20,1.0,1.0,1.0,9.900000000000002,0.09316301345825195
greedy_1step,2,-1,20,0.25,2.0,2.75,2.2250000000000005,0.0
greedy_1step,3,-1,20,0.05,3.0,3.0,0.19999999999999996,0.0
greedy_1step,1,1,20,1.0,1.0,1.0,9.900000000000002,0.0
greedy_1step,2,2,20,0.25,2.0,2.75,2.2250000000000005,0.0
greedy_1step,3,3,20,0.05,3.0,3.0,0.19999999999999996,0.0
uniform_mcts_32,1,-1,20,1.0,1.0,1.0,9.900000000000002,0.08913183212280273
uniform_mcts_32,2,-1,20,0.4,2.375,2.75,3.725,0.0
uniform_mcts_32,3,-1,20,0.0,0.0,3.0,-0.3,0.0
uniform_mcts_32,1,1,20,1.0,1.0,1.0,9.900000000000002,0.0
uniform_mcts_32,2,2,20,0.4,2.375,2.75,3.725,0.0
uniform_mcts_32,3,3,20,0.0,0.0,3.0,-0.3,0.0
onpath_mcts_32,1,-1,20,1.0,1.0,1.0,12.9,0.11077380180358887
onpath_mcts_32,2,-1,20,1.0,2.1,2.1,12.78,0.0
onpath_mcts_32,3,-1,20,1.0,3.0,3.0,12.680100000000001,0.0
onpath_mcts_32,1,1,20,1.0,1.0,1.0,12.9,0.0
onpath_mcts_32,2,2,20,1.0,2.1,2.1,12.78,0.0
onpath_mcts_32,3,3,20,1.0,3.0,3.0,12.680100000000001,0.0
beam_search_64,1,-1,20,1.0,1.0,1.0,12.9,0.8987791538238525
beam_search_64,2,-1,20,1.0,2.0,2.0,12.79,0.0
beam_search_64,3,-1,20,1.0,3.0,3.0,12.680400000000002,0.0
beam_search_64,1,1,20,1.0,1.0,1.0,12.9,0.0
beam_search_64,2,2,20,1.0,2.0,2.0,12.79,0.0
beam_search_64,3,3,20,1.0,3.0,3.0,12.680400000000002,0.0
